skuId,productId,brandName,productName,listPrice,salePrice,rating,reviews,imageUrl,url,isNew,isLimitedEdition,isSephoraExclusive
2840148,P515902,PAT McGRATH LABS,PAT McGRATH LABS x CANDY CRUSH Mattetrance Lipstick,39.0,,5.0,1,https://www.sephora.com/productimages/sku/s2840148-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/pat-mcgrath-labs-x-candy-crush-mattetrance-lipstick-P515902?skuId=2840148,False,True,False
2842946,P516006,MERIT,Signature Lip Sheer Lip Liner,24.0,,4.5431,394,https://www.sephora.com/productimages/sku/s2842946-main-zoom.jpg?imwidth=270&pb=clean-at-sephora,https://www.sephora.com/product/signature-lip-sheer-lip-liner-P516006?skuId=2842946,False,False,False
2686269,P507174,REFY,Lip Blush,24.0,,3.6667,177,https://www.sephora.com/productimages/sku/s2686269-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/lip-blush-P507174?skuId=2686269,False,False,False
2766814,P511701,PAT McGRATH LABS,Dramatique Mega Lip Pencil,29.0,,4.5714,77,https://www.sephora.com/productimages/sku/s2766814-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/pat-mcgrath-labs-dramatique-mega-lip-pencil-P511701?skuId=2766814,False,False,False
2714269,P500992,MAKE UP FOR EVER,Rouge Artist For Ever Matte 24HR Longwear Liquid Lipstick,29.0,23.2,4.0182,274,https://www.sephora.com/productimages/sku/s2714269-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/rouge-artist-for-ever-matte-24hr-longwear-liquid-lipstick-P500992?skuId=2714269,False,False,False
2198661,P450511,HUDA BEAUTY,Power Bullet Matte Lipstick - Throwback Collection,27.0,,3.9806,309,https://www.sephora.com/productimages/sku/s2198661-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/power-bullet-matte-lipstick-P450511?skuId=2198661,False,False,True
2868123,P516850,Charlotte Tilbury,Unreal Lip + Cheek Glow Blush Stick with Hyaluronic Acid,42.0,,4.6892,563,https://www.sephora.com/productimages/sku/s2868123-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/unreal-blush-P516850?skuId=2868123,False,False,True
2765865,P511724,Charlotte Tilbury,K.I.S.S.I.N.G Lipstick and Lip Gloss Duos,27.0,,3.3448,58,https://www.sephora.com/productimages/sku/s2765865-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/charlotte-tilbury-k-i-s-s-i-n-g-lipstick-and-lip-gloss-duos-P511724?skuId=2765865,False,True,False
2306959,P501504,Laura Mercier,Petal Soft Lipstick Crayon,35.0,,4.3312,474,https://www.sephora.com/productimages/sku/s2306959-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/petal-soft-lip-crayon-P501504?skuId=2306959,False,False,False
2656254,P473708,Fenty Beauty by Rihanna,Gloss Bomb Heat Universal Lip Luminizer + Plumper,26.0,,4.2363,1553,https://www.sephora.com/productimages/sku/s2656254-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/fenty-beauty-rihanna-gloss-bomb-heat-universal-lip-luminizer-plumper-P473708?skuId=2656254,False,False,False
2681732,P505749,ROSE INC,Lip Cream Longwearing Matte Liquid Lipstick with Squalane,28.0,14.0,4.0792,101,https://www.sephora.com/productimages/sku/s2681732-main-zoom.jpg?imwidth=270&pb=clean-planet-aware,https://www.sephora.com/product/rose-inc-weightless-matte-lip-cream-P505749?skuId=2681732,False,False,True
2595809,P400625,Bobbi Brown,Luxe Lipstick,45.0,,4.446,278,https://www.sephora.com/productimages/sku/s2595809-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/luxe-lip-color-P400625?skuId=2595809,False,False,False
2737112,P509396,tarte,maracuja juicy lip high-shine vinyl gloss,27.0,,4.0262,229,https://www.sephora.com/productimages/sku/s2737112-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/tarte-maracuja-juicy-lip-vinyl-P509396?skuId=2737112,False,False,False
2672046,P405231,Givenchy,Le Rouge Interdit pH Reactive Hydrating Universal Black Lip Balm,43.0,,3.7542,301,https://www.sephora.com/productimages/sku/s2672046-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/rouge-interdit-vinyl-color-enhancing-lipstick-P405231?skuId=2672046,False,False,False
2458743,P458775,PAT McGRATH LABS,MatteTrance™ Lipstick - Divine Rose Collection,39.0,,4.0,28,https://www.sephora.com/productimages/sku/s2458743-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/pat-mcgrath-labs-mattetrance-lipstick-divine-rose-collection-P458775?skuId=2458743,False,False,False
1900083,P78834,NARS,Velvet Matte Lipstick Pencil,27.0,,4.4499,5248,https://www.sephora.com/productimages/sku/s1900083-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/velvet-matte-lip-pencil-P78834?skuId=1900083,False,False,False
2420388,P471244,HUDA BEAUTY,Power Bullet Cream Glow Hydrating Lipstick,27.0,,4.0033,304,https://www.sephora.com/productimages/sku/s2420388-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/huda-beauty-power-bullet-cr-egrave-me-glow-lipstick-P471244?skuId=2420388,False,False,True
2420503,P468347,Charlotte Tilbury,Hyaluronic Happikiss Lipstick Balm,35.0,,3.8396,480,https://www.sephora.com/productimages/sku/s2420503-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/charlotte-tilbury-hyaluronic-happi-kiss-color-lip-balm-P468347?skuId=2420503,False,False,False
2637718,P504339,Hourglass,Unlocked Satin Creme Lipstick- Red 0,38.0,,4.6667,27,https://www.sephora.com/productimages/sku/s2637718-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/hourglass-unlocked-satin-creme-lipstick-red-0-P504339?skuId=2637718,False,False,False
2744522,P510861,Lancôme,L'Absolu Rouge Intimatte Buildable Soft Matte Lipstick,35.0,,4.619,21,https://www.sephora.com/productimages/sku/s2744522-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/lancome-l-absolu-rouge-intimate-blushing-nudes-lipstick-P510861?skuId=2744522,False,False,False
2597656,P502442,NATASHA DENONA,My Dream Lipstick - Creamy Lip Color,27.0,,4.6138,145,https://www.sephora.com/productimages/sku/s2597656-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/my-dream-lipstick-creamy-lip-color-P502442?skuId=2597656,False,False,False
2503381,P509462,TOM FORD,Soleil Sunlit Rose Lip Balm,,,4.12,475,https://www.sephora.com/productimages/sku/s2503381-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/tom-ford-soleil-sunlit-rose-lip-balm-P509462?skuId=2503381,False,False,False
2883023,P517706,TOM FORD,Fucking Fabulous Lip Color Matte Lipstick,62.0,,5.0,1,https://www.sephora.com/productimages/sku/s2883023-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/fucking-fabulous-lip-color-matte-lipstick-P517706?skuId=2883023,True,False,False
